,City Name,Country Code,Latitude,Longitude,Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
450,yulara,AU,-25.24,130.99,39.2,86,14,9.17
451,am timan,TD,11.04,20.28,72.52,83,37,4.21
452,aksay,KZ,51.17,53.01,59.92,87,0,2.59
453,villa carlos paz,AR,-31.42,-64.5,55.98,54,0,4.7
454,shenkursk,RU,62.11,42.91,48.58,81,11,4.52
455,bilma,NE,18.69,12.92,93.94,24,20,16.8
456,sorland,NO,67.67,12.69,46.4,81,20,14.99
457,batagay-alyta,RU,67.8,130.41,51.28,52,15,5.03
458,guatire,VE,10.47,-66.54,76.66,83,75,3.36
459,shahr-e kord,IR,32.33,50.85,80.6,19,75,4.7
460,dicabisagan,PH,17.08,122.42,76.84,94,100,4.5
461,belem de sao francisco,BR,-8.75,-38.97,71.8,69,91,18.32
462,amaigbo,NG,5.78,7.83,70.72,98,83,3.74
463,waitati,NZ,-45.75,170.57,46.99,64,41,10.0
464,vardo,US,39.62,-77.74,87.24,35,1,4.7
465,imbituba,BR,-28.24,-48.67,59.0,100,75,3.36
466,university park,US,32.86,-96.79,93.27,44,1,3.36
467,quinchia,CO,5.34,-75.73,69.8,88,40,2.24
468,chany,RU,55.31,76.76,61.72,74,0,5.73
469,cerrito,CO,6.84,-72.7,71.6,100,40,5.82
470,saint-augustin,CA,45.63,-73.98,79.29,50,75,9.17
471,sur,OM,22.57,59.53,86.56,52,2,20.02
472,san clemente,US,33.43,-117.61,84.24,40,1,9.17
473,kurilsk,RU,45.23,147.88,51.46,85,11,5.41
474,kaoma,ZM,-14.8,24.8,51.64,64,0,7.65
475,lota,AU,-27.47,153.19,52.86,66,0,6.93
476,saint-felicien,CA,48.65,-72.45,77.0,57,75,3.36
477,college,US,64.86,-147.8,75.27,38,1,4.7
478,angoram,PG,-4.06,144.07,83.86,68,99,2.21
479,kindia,GN,10.05,-12.86,70.07,98,99,2.39
480,pingliang,CN,35.54,106.68,60.28,86,100,4.23
481,acari,BR,-6.44,-36.64,75.22,61,94,20.47
482,las margaritas,MX,16.32,-91.98,67.12,73,8,4.68
483,pangnirtung,CA,66.15,-65.72,42.8,93,75,12.75
484,koumac,NC,-20.56,164.28,69.46,68,92,19.33
485,phayao,TH,19.17,99.9,70.0,93,79,1.14
486,mandan,US,46.83,-100.89,86.49,43,1,12.75
487,slave lake,CA,55.28,-114.77,66.2,72,1,6.93
488,mapiripan,CO,2.89,-72.13,74.68,89,29,0.98
489,kautokeino,NO,69.01,23.04,45.34,81,100,2.57
490,beroroha,MG,-21.68,45.17,62.44,69,0,10.51
491,bemidji,US,47.48,-94.89,86.27,43,1,18.34
492,eau claire,US,44.81,-91.5,85.42,66,1,14.99
493,nombre de dios,MX,23.85,-104.24,74.57,33,90,12.75
494,bam,IR,29.11,58.36,62.26,33,0,1.52
495,trincomalee,LK,8.58,81.23,79.43,77,94,8.68
496,maniwaki,CA,46.38,-75.98,72.41,67,52,5.19
497,saint-georges,CA,46.12,-70.67,75.0,55,56,4.0
498,mujiayingzi,CN,42.12,118.78,74.68,60,100,7.47
499,porbandar,IN,21.64,69.61,82.24,83,95,21.74
500,oranjemund,ZA,-28.55,16.43,54.52,88,0,7.0
501,beruwala,LK,6.48,79.98,83.57,78,99,17.56
502,dallas,US,32.78,-96.8,93.42,44,1,3.36
503,bathsheba,BB,13.22,-59.52,81.07,78,40,23.04
504,rundu,NA,-17.91,19.77,57.2,26,0,3.36
505,safranbolu,TR,41.25,32.69,54.52,92,12,3.36
506,rosetta,EG,31.4,30.42,80.6,74,0,4.7
507,san patricio,PY,-26.98,-56.83,53.62,83,0,4.56
508,jiangyou,CN,31.78,104.73,61.18,98,100,2.68
509,altay,CN,47.83,88.13,58.84,66,0,3.31
510,zhangye,CN,38.94,100.46,71.26,32,81,4.34
511,yulin,CN,38.3,109.75,65.68,76,100,3.49
512,tiarei,PF,-17.53,-149.33,82.18,58,20,10.29
513,coquimbo,CL,-29.95,-71.34,61.92,81,0,6.93
514,beringovskiy,RU,63.05,179.32,62.44,59,35,9.37
515,moose factory,CA,51.26,-80.61,57.58,82,82,15.37
516,dingle,PH,11.0,122.67,74.86,93,100,5.84
517,meulaboh,ID,4.14,96.13,80.62,78,64,7.18
518,cap malheureux,MU,-19.98,57.61,68.95,64,40,17.22
519,acapulco,MX,16.86,-99.88,89.6,66,20,4.7
520,meridian,US,43.61,-116.39,88.57,22,1,10.29
521,goma,CD,-1.67,29.23,53.26,84,6,1.28
522,storsteinnes,NO,69.24,19.23,47.52,87,92,8.05
523,alta floresta,BR,-9.87,-56.08,89.6,31,0,3.36
524,humberto de campos,BR,-2.6,-43.46,75.65,91,83,4.74
525,obzor,BG,42.82,27.88,66.13,88,20,5.82
526,oriximina,BR,-1.77,-55.87,80.8,70,0,4.72
527,ozinki,RU,51.2,49.73,62.8,81,0,4.16
528,kenitra,MA,34.26,-6.57,67.26,77,75,5.82
529,linfen,CN,36.09,111.52,83.32,42,100,2.46
530,weligama,LK,5.97,80.42,83.32,77,100,16.64
531,pulaski,US,37.05,-80.78,78.49,74,90,4.7
532,bukoba,TZ,-1.33,31.81,68.0,77,0,2.35
533,husavik,CA,50.56,-96.99,82.09,41,0,4.0
534,ormara,PK,25.21,64.64,81.52,77,100,8.88
535,mossendjo,CG,-2.95,12.72,66.58,98,45,1.21
536,liku,ID,-0.73,119.89,80.08,79,78,5.86
537,thai binh,VN,20.45,106.33,86.0,89,20,5.82
538,kailua,US,21.39,-157.74,84.85,55,40,11.41
539,springbok,ZA,-29.67,17.88,48.58,80,0,2.55
540,podor,MR,16.65,-14.96,84.2,58,0,4.7
541,padang,ID,-0.92,100.36,81.16,78,82,5.01
542,mount gambier,AU,-37.83,140.78,50.0,100,90,13.87
543,bonavista,CA,48.65,-53.11,50.0,82,100,7.0
544,kodino,RU,63.72,39.64,44.26,91,50,2.13
545,fare,PF,-16.7,-151.02,77.02,76,2,15.57
546,whitianga,NZ,-36.83,175.7,57.0,90,100,4.0
547,pemba,MZ,-12.97,40.52,71.44,79,32,12.26
548,ekibastuz,KZ,51.72,75.32,69.28,57,33,4.16
549,novoagansk,RU,61.94,76.66,68.92,66,0,5.57
